X	Gloss	Duhumbi	Khispi	Rupa	Shergaon	Rahung	Khoitam	Jerigaon	Khoina	Dikhyang	Singchung	Wangho	Bichom	Kaspi	Namphri	Bulu	Kojo Rojo	Rawa	Saria	Chayangtajo	Lasumpatte	ZMYYC	Li Daqin		ʦB	WB	WT	PT	PBG	PH	PKC
47	knee	kɔːlɔkpa	kɔːlɔkpa	lə-pʰyk	kʰlɔkpuː 	la-pʰik̚ kʰɔm	lə-pʰik̚ kʰɔm	la-pʰyk̚ kriː	ja-pʰyk kraː	laːgjuŋ	ləspau	lakijuŋ	ləspau	lagijoŋ	lagijoŋ	alɛː kəpeiʔ	laikapɹei	laikərəʔ	lɛːkuŋ	kapɹei	kapei	NA	mə³¹lai⁵⁵kə³¹pei⁵³		tɔŋziŋ ~ gumziŋ	dú	pus-mo	*lə-bɯŋ	NA	NA	*kuup ⪤ khuup ⪤ khuuk
LS	cognacy	1	1	2	1	2	2	2	2	3	4	3	4	3	3	5	5	6	7	5	5		5		8	9	10	11			12
48	to know	dɛn 	dɛn 	dan	dan	dɛn 	dɛn 	dɛn 	dɛn 	ĩt	tʰekmage	īt	tʰejakpa	itpʰat	itpʰa	dɛN	dan	dat	daiʔ	daiʔ	daiʔ	daʈ³³	daᵗ⁵⁵		se	taʔ/θḭ	śes-pa	*ken	*si⁴	*ni	*thay-I, thayʔ-II
LS	cognacy	1	1	1	1	1	1	1	1	2	3	2	3	2	2	1	1	1	1	1	1	1	1		2	2	2	4	2	5	6
49	to laugh	ʑɛj 	ʑej	zaː 	zaː 	zɛː 	zɛː 	zɛː 	ʐaː 	sjɔk	ʧijo	ʧijo	ʃijaʔ	seʔ	ʃeʔpʰa	zɛː	zjei	zei	zɛː	ruɛ	ruɛ	ɣuɛ³³	ɣue⁵⁵		ŋaɾ 	yè (yi)	bźad	*ŋil	*mi⁴-ni	*toC	*nu(u)y-I, -nuyʔ-II; hnu(u)y-I, hnuyʔ-II
L	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	3	3	3	3		4	5	1	6	6	7	6
50	leaf	u-lap̚	u-lap	ʔa-lap 	ʔa-lap 	ʔa-rap 	ʔa-rap 	ʔa-lɛ	ʔa-laʔ 	ərap	erap	rap	rap	rap	rap	aləp	hɨ̃-jəm	hɨŋ-ləp	aləʔ	aləʔ	aləʔ	heʴn³³lɯk³³	a³¹lɯᵏ⁵³		ɕaba	əyweʔ	lo-ma	*nə	*lai²	*mə-rajC	*hnaʔ
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	1	3	4	1	1	4
51	leg/foot	lɛj 	lej 	la 	la 	lɛ 	lɛ 	lɛ 	la 	loːɛ ~ loɛ	loᵉ	luᵉ	luᵉ	laⁱ	laⁱ	alɛː	lai	lai	lai	(a)lɛː	(a)lɛː	læ³³	a³¹ʦæ⁵³		bi 	ʧʰèi (ʧʰi)	rkaṅ-pa	*lə(~ le?)	*ya²-theŋ	*laj	*kee ⪤ khee
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		3	4	7	1	5	1	6
52	liver	ɕa taŋku 	ɕap-ɕin	ʔa-ʦʰɛ̃ː 	ʔa-ʦʰeː ~ ʔa-ʨʰĩː 	ʔa-ʨʰĩː 	s-sĩː ~ sə-sĩː ~ ʦ-sĩː ~ ʦə-sĩː 	sɛ̃j ~ sɛ̃ĩ 	də-ʨɛ̃ː 	ʔəpʰin	NA	NA	NA	NA	NA	apjin	apin	apjet	apiʔ	apjiʔ	apjiʔ	a³³pie⁵³	a³¹pie⁵³		ʨʰimpa 	əθé	mčhin-pa	*zin	*pi³-kha	*mə-θin 	*thin
LS	cognacy	1	2	2	2	2	2	2	2	2						2	2	2	2	2	2	2	2		3	2	3	2	2	2	2
53	long	u-riŋ 	u-liŋ	ʔa-rɛŋ 	ʔa-rɛŋ 	ʔa-rɛŋ 	ʔa-rɛŋ 	ʔa-rɛŋ 	ʔa-rɛŋ 	əpʰjaŋ	pʰijaŋ	epʰijam	pʰijaŋ	pʰijaŋ	epʰijam	apjaN	apɹaŋ	apɹaŋ	pɹaŋ	apɹaŋ	apɹaŋ	a³³pɹaŋ⁵³	a³¹pɹaŋ⁵⁵		ɾiŋbu	myɔ́	riṅ-po	NA	*lao²	*mə-pjaŋ	*sʰay, *saaw
LS	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2		1	3	1		4	2	3
54	louse	hjek̚	hɛk̚	hɛk	hɛk	hɛk	hɛk	hɛ	xɛk	NA	NA	NA	NA	NA	NA	ʃiʔ	hɹɛ	hɛː	prɛː	pɹɛː	pɹɛː	pə³³ɣæ⁵³	pɯ³¹ɣai⁵³		ɕiŋ 	θá̃ (than:)	šig	*fɯk	*thɯk	*saC	*hrik
LS	cognacy	1	1	1	1	1	1	1	1							2	1	1	3	3	3	3	3		2	4	2	5	4	6	2
60	moon	nam-ba 	nam-ba 	nam-blu 	nam-blu 	nam-bru 	nam-blu 	nam-blu 	nam-blu 	haːbieː ~ haːpieː	habije	habije	habije	habije	habije	hambɔː	habu	hanua	aŋbo	amboː	amboː	aŋ³³bo³³	aŋ³³bo⁵⁵		laɲi ŋam 	sà̃ dà (san da) [Pali စန္ဒ]	zla-ba	*po-lo	NA	*lu	*khlaa
L	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1		3	3	3	4		3	5
55	mouth 	hɔ-ʨu	hɔ-ʨɔ 	nə-ʦʰaw 	nə-ʨʰaw 	ʨʰ-ʨʰoː ~ ʨʰə-ʨʰoː 	ʨʰ-sɔː ~ ʨʰə-sɔː	sɔː	də-ʦʰɛː 	siam	spʰun	ʃijam	sem	sem	sem	asəm	səm	səp	səʔ	səʔ	səʔ	mə³³luʈ³³	ɕəʳᵏ⁵⁵		nowaŋ	n̥oʊʔ	kha	WT *gam/ET *nap-paŋ	*khu²	*mə-nuŋ	*hmuur, *kaa, *kam
LS	cognacy	1	1	1	1	1	1	1	1	2	3	2	2	2	2	2	2	2	2	2	2	4	2		5	5	3	6	3	5	3
56	name	biŋ 	biŋ 	ʔazɛŋ 	ʔazɛŋ 	ʔaʥɛŋ 	ʔaʥɛŋ 	ʔaʥɛŋ	ʔaʣajŋ ~ ʔaʣɛŋ 	əbɛŋ	ebeŋ	ebeŋ	ebeŋ	ebeŋ ~ mbeŋ	ebeŋ	abjɛN	abɹɛn	abɹɛn	abɹɛŋ	abɹɛŋ	abɹɛŋ	a³³bɛʴŋ³³	a³¹braŋ⁵³		miŋ 	nà myì	miŋ 	*mɯn ~ mrɯŋ	*muŋ 	*mə-mjiŋ	*miŋ ⪤ hmiŋ; min ⪤ hmin
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	2	2	2	2	2	2
57	navel	bɔːdi 	bɔːdi 	braː	butimuː 	brɛː 	brɛː 	braː	braː	burui	NA	NA	NA	NA	NA	sim-blyi	roŋrei	roːrei	rueri	ruerei	ruerei	NA	a³¹ɬɯi⁵⁵		pʰuʨi 	ʧʰeʔ	lte-ba	*kri-ni	NA	NA	*laay
L	cognacy	1	1	1	1	1	1	1	1	1						1	2	2	2	2	2		3		4	4	5	6			7
58	neck	hɛn-tʰɔŋ 	hɛn-tʰɔŋ 	tʰuŋ-ʦɛ̃ː 	takraː 	pʰ-tʰuŋ 	nə-tʰuŋ	NA	nə-tuxĩː	raguŋ juŋã	ejua	japu	ejua	jua	jua	kətuNrin	tuŋrin	tõrɨn	kətjuŋ	kətuŋ	kətjuŋ	kə³³tuoŋ³³	kɯ³¹toŋ⁵⁵		ŋaŋ 	lè	mǰiṅ-pa ~ ḥǰiṅ-pa	*lɯŋ	*Go⁰-tok	NA	*hŋooŋ
LS	cognacy	1	1	1	2	1	1		1	3	3	3	3	3	3	1	1	1	1	1	1	1	1		4	5	6	7	1		4
59	new	ʔɔ-kʰɔn 	ʔɔ-han 	ʔa-fan ~ ʔɔ-fan 	u-fan 	ʔa-hɛn ~ ʔɛ-hɛn 	ʔa-fan 	ʔə-hɛn 	ʔa-fɛn 	NA	ovoᵘ	evoŋ	ewã	mvəo	evo	afɛN	afan	afaʲt	afaiʔ	afaiʔ	afaiʔ	a³³faʈ³³	a³¹fuaᵗ⁵⁵		siŋma	θiʔ	gsar-pa	NA	*Gɯ⁰-dal⁴	*mə-gə-nu	*thar
LS	cognacy	1	1	1	1	1	1	1	1		2	2	2	2	2	1	1	1	1	1	1	1	1		3	3	4		5	6	4
61	nose	hɛm-pʰɔŋ 	hɛm-pʰɔŋ 	nə-pʰuŋ 	nə-pʰuŋ 	ma-pʰuŋ 	nu-pʰuŋ ~ nə-pʰuŋ 	nə-pʰuŋ ~ nə-fuŋ 	nə-pʰuŋ 	ʔeːpʰuŋ ~ ʔəpʰuŋ	epʰuŋ	epʰuŋ	epʰuŋ	epʰuŋ	epʰuŋ	a-pʰuN	a-puŋ	poŋ	poŋ	apok	apok	pɔk³³	a³¹pauᵏ⁵⁵		nahuŋ	n̥à	sna/sna-khug	*ña-pum; ña-buŋ	*kuŋ¹-thuŋ	NA	*hnaar
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	2	2	1	3		2
62	not	ba-	ba-	bɔ-/bi-/bə- 	bɔ-/bi-/bə- 	bə-/by- 	bə-/by- 	bə-/by- 	bə-/by- 	ɔi	NA	NA	NA	NA	NA	ba	ba	ba	ba	ba	ba	ba³³	ba³¹		ma	NA	ma	*maŋ	*-ya⁰	NA	*law
L	cognacy	1	1	1	1	1	1	1	1	2						1	1	1	1	1	1	1	1		1		1	1	3		4
63	old of things	ʔɔ-mɛn	ʔɔ-mɛn	ʔa-man	ʔa-man	ʔa-mɛn 	ʔa-man	ʔa-mɛn 	ʔa-mɛn 	əhɛk	ehe	ehek 	ehek 	ehek 	ehek 	aʦɛN	aʧjɛn	aʧet	aʧeiʔ	aʧaiʔ	aʧaiʔ	a³³ʨɛt³³	a³¹ʨeᵗ⁵⁵		manma	háʊ̃ (haun:)	rñiṅ-pa	*ku ~ kju?	*Gɯ⁰-cam¹	*mə-ɕoʔ	*hlun
L	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	3	3	3	3	3		1	4	5	6	7	8	4
64	one	hin	hin	han	han	hɛn	han	hɛn	hɛn	ʦjɔ̃	ʤijo	ʧo	ʤijo	ʤe	ʤe	tyi	kjuː	tjoː	ʧue	hui	hui	ɦui³³	çun⁵⁵		tʰuɹ	tiʔ	gčig	kon	-sha⁴	a-ken	*khat ⪤ ʔat ⪤ hat
L	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	3	3	4	2	2	3	5	5	5	6		7	8	8	9	10	9	10
68	path	huma 	huma 	nəmu ~ ləmu 	ləmu	lum ~ lym	lym	hamu ~ ləmu 	ham 	ləmuə duə	ləmua	ləmua	ləmua	ləmua	ləmua	lim	lim	lɨp	liʔ	puzuɛ	puzuɛ	pə³³zuɛ³³	pɯ³¹zuai⁵⁵		lam	lá̃ (lan:)	lam	*lam	*lam¹/*la¹-ma	*lam-baŋ	*koŋ, *lam
S	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2		1	1	1	1	1	1	1
65	rain	na-mu 	na-mu ~ na-mɔː 	nə-ʦʰoː ~ nə-ʦʰuː 	ɲi-mi 	pʰ-ʨʰu 	nə-ʨʰu 	nə-ʨʰu 	naː-ʦʰu 	haːpʰiɛ	hapʰije	hapʰije	hapʰije	hapʰije	hapʰije	hampiː	hampɹoː	hampɹoː	haʔpɹo	ampɹuː	ampjuː	aŋ³³pru⁵³	aŋ³³pru⁵³		ŋamsu	mó (mou:)	čhar-pa	*mV-doŋ ~ pV-doŋ	*no⁴-kha	*nə-dəj; *pro	*ruaʔ
LS	cognacy	1	1	2	1	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3		4	1	5	6	7	3	8
66	red	ʔɔ-kʰjek	ʔɔ-hɛk ~ hɔːla 	ʔə-hɛk 	ʔə-hɛk 	ʔə-hɛk̚	ʔə-hɛk ~ ʔa-hɛk 	ʔə-hɛk ~ʔa-hɛk 	ʔa-xɛk	əɕɛk	eʃaik	eʃek	ʃeⁱk/eʃaik	ʃeⁱ 	eʃaik	aʃiʔ	ahɨː	arjuʔ	arjuʔ	arjuk	arjuk	a³³jiʈ³³	a³³jiˀ⁵⁵		ʦalu	nì, máʊ̃, yé	dmar-po	*lɯŋ	*Gɯ⁰-cak	*ʨaʔ	*sʰan ⪤ sʰen
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	3	4	4		5	6	7	8	5	5	9
67	root	raba 	hiŋŋa lej 	ʔə-hĩː 	rabɔː	ʔi-hĩː ~ ʔə-hĩː 	ʔa-hĩː 	ʔi-hĩː 	ʔa-xĩː 	ərəŋ	eraŋ	eraŋ	eraŋ	eraŋ	eraŋ	ʃiN-rin	hɨ̃-rin	arɨŋ	ariŋ	areŋ	areŋ	heʴn³³kuŋ³³	a³¹koŋ⁵⁵		raʨʰi	əmyiʔ	rʦa-ba	*pɯr?	NA	*mə-kriŋ	*yuŋ
LS	cognacy	1	2	3	1	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	5	5		1	6	7	8		4	9
69	to run	dur 	dul	kjaː ~ ʨʰaː 	 ʨʰaː 	ʨɛː	riŋ 	lɛ ʔikʰɛn 	ʦʰɔː	ran	NA	NA	NA	NA	NA	rin	ren	rit	riʔ	riʔ	riʔ	riʈ³³	ʑei⁵⁵		ʥuk	pyéi	rgyug-pa	NA	*khat	NA	*plii ⪤ play
1	cognacy	1	1	2	2	2	3	4	2	3						3	3	3	3	3	3	3	5		6	7	6		2		7
70	salt	ha 	ha 	hũː 	huŋ 	hũŋ 	huŋ 	huŋ 	hũː 	səruə	suruwa	suruwa	surəja	suɹe	suruwa	fəu	fou	foː	hoŋ	hoŋ	hoŋ	hɔŋ³³	hoŋ⁵⁵		ʔinʨʰa 	sʰá	ʦhwa	*lo	*sɯm³/*kha¹-rɯi	*lu	*ʦii
L	cognacy	1	1	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	2	2	2	2	2		5	5	5	3	6	3	7
71	sand	beʦa 	beʦa 	mə-kʰɔ 	beʦɔ	kʰə-bɔ	kʰə-pʰɔ 	kʰ-pʰa ~ kʰ-fa 	gə-pʰa 	baːli	bali	bali	bali	bali	bali	səmpjɛː	panʧɨːhɹɛː	pãʧɨʔ	bɛɛʧiʔ	pɹɛːʧeiʔ	pjɛːʧeʔ	pɹæʳ³³ʦət³³	paʳ⁵⁵ʦeʳ³³		bɛʦa 	θé	bye-ma	NA	*haŋ²-ceŋ	*sə-gə-raj	*neel
LS	cognacy	1	1	2	1	3	3	3	3	4	4	4	4	4	4	5	6	6	6	6	6	6	6		1	7	8		9	10	11
73	to say	ʔin 	ʔin 	ʔam 	ʔam 	ʔan ~ ʔɛm	ʔan 	ʔɛn 	ʔɛn 	jaː	jemage	je	jepʰa	sipʰa	jopʰa	riː	rjoː	rjoː	jɔː	luiʔ	luiʔ	luiʔ	ɬuiᵗ⁵³		jik	sʰò	bśad	*ban~man	*hɯn¹	NA	NA
	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	3	2	4	4	4	2	5	5	5	5		6	3	3	7	1		
74	to see	ʔaj 	ʔaj 	ʔɔː	ʔɔː 	ʔɔː 	nũː (-ʨʰi) 	NA	nɔ̃ː-ʨʰi 	gərak	rəkmage	rək	rəg	rekpʰa	rək	niŋ	njəŋ	niŋ	ɲɨː	ʤei	ʤei	ŋua³³/daȶ³³	ŋwa⁵⁵daᵗ³³		tʰɔŋ 	myì̃, myɔ̀	mthoṅ-ba	*kaŋ	*nuk	*gaŋ	*hmuu-I, hmuʔ-II
LS	cognacy	1	1	1	1	1	2		2	3	3	3	3	3	3	4	4	4	4	5	5	6	6		7	4	7	8	2	8	9
82	to sit	ʥu	ʥu	ʥau	ʥau	ʥo 	ʥɔː 	ʥɔː 	ʣɔː 	duk	dukma	tuk	duk	dəkmu	dukmage	rɨː	ʤao	tuŋ	tuŋ	tuŋ	tuŋ	toŋ³³	toŋ⁵⁵		laŋ 	tʰàĩ (htain)	sdod-pa	*duŋ	*a⁴-shoŋ	*ʥuC	*taw
S	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	1	2	2	2	2	2	2		4	5	6	2	7	1	8
75	skin/hide	ɕa-kʰɔʔ 	ɕa-kɔ ~ ɕa-kʰɔʔ 	s-kuk 	s-kuk 	s-kuk ~ s-kʰuk 	sə-kuk ~ s-kuk 	s-kuk ~ s-kʰuk 	ʂ-kʰuk 	eːkʰuk	ekʰuk	ekʰuk	ekʰuk	ekʰuk	ekʰuk	akuʔ	akɨː	akəː	akəː	akəː	akəː	a³³kə⁵³	a³¹kə⁵³		kʰɔptaŋ 	əkʰù̃ (akhun), əyèi	pags-pa	*rjo/*pɯn	*Gur¹	*mə-prja	*phoo, *wun
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	2	3	4	5	6
27	to sleep	min	min	ʥiŋ	ʥin	ʥiŋ	ʥiŋ	ʥiŋ	ʣiŋ 	mjɛn	mijenmage	mijen	mijanpʰa 	men	menpʰa 	rəm	rəm	rəp	rəʔ	rəm	rəm	ɣəŋ³³	ɣəŋ⁵⁵		jip 	seʔ	ñal-ba	*jup	NA	*ʥV	*ʔip-I, ʔiʔ-II
LS	cognacy	2	2	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	3	3	3	3	3		4	5	6	4		7	4
76	small	kati 	ɕada	ʔa͡-ʨan-du	ʔa͡-ʨan-du	ʨɔ̃n-du ~ ʨɔ̃ː-du	ʔa-ʥan-du 	ʔadudu 	ʔa-ʥãn-du 	ətidua	ẽeᵘ	ejuŋ	ejuŋ	ejuŋ	iu	aziː	aziː	ajiŋ	ɲɛːdoː	kəsiʔ	kəsiʔ	ciaŋ³³	ʥiaŋ⁵⁵		zemu 	ɲ̥eʔ	čhuṅ-čhuṅ	NA	NA	NA	*θaa-I, θaat-II
LS	cognacy	1	2	3	3	3	3	2	3	2	4	4	4	4	4	5	5	4	6	7	7	3	3		5	6	8				9
77	smoke	bu-kʰu	bu-kʰu	ba-kʰy 	ba-kʰy 	ba-kʰy 	ba-kʰy 	ba-kʰy 	ba-kʰy 	bakʰau	boᵉkʰaᵘ	bukʰu	bamkʰam	baiŋkʰam	boᵉmokʰəm	bɛkʰɨː	baikəː	baikɨː	baikɨː	bɛːkɨː	bɛːkɨː	bæ³³kɯ³³	bæ³³kɯ⁵⁵		mukʰu ~ mugu 	əkʰó	du-ba	*mə-kɯ	*muk	*maj-kən	*may-khuu
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	2	1	3	1	1
79	stand	kʰiŋ	kʰiŋ	kʰĩː	kʰĩː	ʨʰĩː	ʨʰĩː	ʨʰĩː	ʈ͡ʂʰĩː	ʦai	riᵒma 	riᵒ	riᵒ	ʤoi	ʤaimage	ʧiN	ʧin	ʧiŋ	ʧiŋ	ʧiŋ	ʧiŋ	cin³³pua¹¹	cin⁵⁵		tʰiŋ 	tʰa̰	ḥgyiṅ-ba	*dak	*diŋ¹	*gu	*ɗiŋ-I, ɗin-II
LS	cognacy	1	1	1	1	1	1	1	1	2	3	3	3	2	2	1	1	1	1	1	1	1	1		4	5	1	5	4	6	4
80	star	kaɹma	kaɹma ~ kalma 	zyʔ ~ zy ~ zyk̚ 	ʨʰu-zuk	 ʨʰyŋ-zyk	 ʨʰyŋ-zyk	də-zyk 	dy-ʐyk 	ʦaːtrɔŋ	sadijoŋ	satijoŋ	tadijaŋ	ladijaŋ 	tadijaŋ	haNwaiʔ	hadaŋ	sat	saiʔ	pəʤaiʔ	pəʤaiʔ	ha³³ɣat⁵³	ha³¹ɣai⁵³		kaɾma 	ʧè (kje)	skar-ma	*kar	*[ha⁴-tV-khi]	*lə-ʨuŋ	*ʔaar-θii ⪤ -sii
LS	cognacy	1	1	2	2	2	2	2	2	3	3	3	3	3	3	4	3	5	5	6	6	7	7		1	8	1	1	9	2	10
81	stone/rock	luŋ 	luŋ 	lýŋ 	luŋ 	rýŋ 	rýŋ 	lýŋ 	lýŋ 	ləbau	labaᵘ	labaᵘ	labaᵘ	labaᵘ	lubu	kalɨŋ	kahoŋ	kəbɹaː	kəbɹaː	kəbɹaː	kəbɹaː	kə³³pɔʳ³³	kə³¹paʳ⁵⁵		luŋ 	ʧaʊʔ (kjau'), kʰé	rdo	*lɯŋ	*loŋ²	NA	*luŋ
LS	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	3	3	3	3	3	3		1	4	5	1	1		1
78	sun	na-mi 	na-mi ~ na-me 	nə-nyː 	nə-niː 	nə-miː 	nə-myː ~ nə-miː 	nə-nyː 	naː-nyː 	haːnɛiŋ	hanaⁱ	haneⁱŋ	hanaⁱ	hanaⁱ	hanaⁱ	hami	hami	hami	hami	kriː	kriː	kə³³ri³³	kəʳ³¹ri⁵⁵		ŋam 	nèi	ñi-ma	*ñi	NA	*ʥuʔ	*nii
S	cognacy	1	1	2	2	1	1	2	2	3	3	3	3	3	3	1	1	1	1	2	2	2	2		4	2	2	2		5	2
83	sweet	jɔŋjɔŋ	ʔɔ-bej-da 	ʔa-ʦĩː ~ ʔa-ʨĩː 	ʔa-ʨĩː 	ʨĩː	ʨĩː	ʔa-blã 	ʔa-ʦĩː 	pʰjɛŋ	pʰijam	pʰijaŋ	pʰijaŋ	pʰijaŋ	pʰijaŋ	apin	apin	apin	apiŋ	apiŋ	apiŋ	a³³piŋ³³	a³¹pin⁵⁵		ɕimpu 	ʤò (chou)	źim-po/mṅar-mo	*tiː	*tɯi²	*mə-jaŋ	*khlum
L	cognacy	1	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		3	4	3	5	5	5	4
84	tail	ɲɔj	ɲuj ~ ɲɔj 	ʔa-ɲaː 	ʔa-ɲaː 	ʔa-nɛʰ 	ʔa-nɛʰ 	ʔa-nɛʰ 	ʔa-naːʰ 	əɲui	eɲoⁱ 	eɲoⁱ 	eɲoⁱ 	eɲoⁱ 	eɲoⁱ 	a-nyi	a-sərjam	akədoŋ	ɲimɹɛː	ni-mɹɛː	ni-mɹɛː	a³³ɲuk³³kuaŋ³³	a³¹ɲiu⁵⁵kuaŋ⁵⁵		ɕampi 	myí	mǰug-ma	*me~ mjo	NA	*mə-lə-mrjaj	*may
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	4	4	1	1		5	1	6	4		4	4
85	to take	tʰɔn 	tʰɔn 	tʰøː 	tʰɛː 	tʰɛn 	tʰĩː 	tʰøː(n) 	tʰøː 	rijə	tʰarijamage	ɹije	ɹeⁱpʰa	jepʰa	lije	leː	lei	lei	rei	rei	rei	ɣei³³	ɣei⁵⁵		bu 	sʰaʊ̀̃	blangs-pa	*laŋ	*la²	*ləw	*laa-I, laak-II
L	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2		3	4	5	5	5	2	5
86	thick	ʔɔ-tʰɛs 	ʔɔ-tʰɛs 	ʔa-tʰat 	ʔa-tʰɛt 	ʔa-tʰɛ 	ʔa-tʰɛ 	ʔa-tʰɛ 	ʔa-tʰɛ 	əkʰlabou	NA	NA	NA	NA	NA	apən	apen	apiʔ	toʔrɨː	apiʔ	apiʔ	a³³piʈ³³	a³¹piᵗ⁵³		tʰɛtpu 	tʰù	ḥthug-po	*bjɯŋ	*rɯ⁴-ca	NA	*ʦhaʔ
L	cognacy	1	1	1	1	1	1	1	1	2						3	3	3	4	3	3	3	3		1	4	4	5	2		6
88	this	ʔɔ-ʨʰi 	u-ʨʰi 	tʰwa	tʰa	tʰə	tʰɛː	tʰaː	tʰaː	NA	ehihi	hepʰomono	hepʰomono ~ menohi	hepʰomono	ʤije	hɨŋ	həŋ	həŋ	həŋ	həŋ	həŋ	həŋ³³	həŋ⁵⁵		utʰu 	dà, ən̥ì	ḥdi	*si	*i⁴	*huŋ	NA
L	cognacy	1	1	2	2	2	2	2	2		3	3	3	3	4	3	3	3	3	3	3	3	3		2	2	5	6	7	3	
90	tongue	lɔj	luj ~ lej 	laː-pʰɔ̃	laː	lɛː	lɛː	lɛː	laː	ryi	iri	ri	ri	ri	ri	alyi	jui	lue	lue	arue	arue	rye³³	a³¹lye⁵⁵		le 	ʃà	lče	*rjo	*shV¹-lai	*bə-laj	*lay
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	2	1	1	1	1	1
91	tooth	hin-tuŋ 	ɕin-tuŋ 	tɔkʦʰeː ~ tɔkʨʰeː 	nə-tʰuŋ 	pʰ-tʰyŋ 	nə-tʰyŋ 	nə-tʰyŋ 	ny-tʰyŋ 	ɕiɲɛn	ʃiniŋ	ʃinijat	ʃinijat	ʃiniŋ	ʃiniŋ	kətɔN	kətuaŋ	tuaŋ	tuaŋ	kətuaŋ	kətuaŋ	kə³³tuaŋ³³	kɯ³¹tuaŋ⁵⁵		ɕa 	swāḥ	so	*fiː	*phwa¹-Gam	*mə-tu	*haa
LS	cognacy	1	1	2	1	1	1	1	1	3	3	3	3	3	3	1	1	1	1	1	1	1	1		4	4	4	5	6	4	4
92	water	kʰow	kʰaw 	kʰoː	kʰoː	kʰoː ~ kʰow 	kʰɔː ~ kʰoː 	kʰɔː	kʰɔː	kʰoː	kʰo	kʰoᵘ	kʰoᵘ	kʰoᵘ	kʰoᵘ	kʰɔː	kua	kua	kua	kua	kua	kua³³	kua⁵⁵		ɾi 	yèi	čhu	*si	*tɯi¹	*wi	*tuy
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	2	3	4	5	6	5
93	what?	ʔa-be 	ʔa-be 	musi ʔaː	mə-raː 	pʰ-ʨʰɔ̃ː waː	ʔa-ti jaː 	mə-tiː ja 	mə-tiː ja 	ɲujaː	niwka	niw	niw	nije	ɲijaga	hɛː	hai	hai	hai	hiː	hiː	hi⁵³ɟeh⁵³	hi⁵⁵		haŋ 	əbè, bà	či/gaṅ	NA	*ma⁴	*tiŋ	NA
L	cognacy	1	1	2	2	3	4	4	4	5	5	5	5	5	5	6	6	6	6	7	7	7	7		8	1	9		10	4	
17	white	jaŋkaɹ	jaŋkaɹ ~ jaŋkal 	ʔa-zɔ̃ː 	ʔa-zɔ̃ː 	ʔa-zɔ̃ː 	ʔa-zɔ̃ː 	ʔa-zãː 	ʔa-zãː 	əmau	emoᵘ	emoŋ	mõᵘ, emoᵘ	mõᵘ	emoŋ	arjuN	arjuŋ	arjuŋ	arjuŋ	arjuŋ	arjuŋ	a³³rioŋ³³	a³¹ɬioŋ⁵⁵		baliŋmin 	pʰyù	dkar-po	*pun ~ puŋ	*bok	*mə-gə-raN	*(k)(r)aaŋ-I, (k)(r)aan-II 
S	cognacy	1	1	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	4	4		5	6	1	6	7	8	9
94	who?	mi 	mi 	ɲiː	ɲiː	miː 	miː 	niː 	niː 	haɲu	haniju	haŋuŋ	haniju	haniju	haniju	mii	hoː	hoː	haː	haː	haː	ha³³	ha⁵⁵		ʔibi 	myì	su	NA	*shar¹	*θu	*tuu
LS	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2		3	1	4		5	4	4
